item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q112726633,Mary Isaac Daniel,,,,,2021-07-03,,,Q112726633-9523A7AA-AFB2-40D4-922D-B9D6F54314B8
Q112726634,Michael Lokerui Losike,,,,,2021-07-03,,,Q112726634-5FD21D6E-9FA6-4744-A985-FF3740BE5605
Q112726038,Michael Mario Dhuor,,,,,2021-07-03,,male,Q112726038-91C0CA91-9A1B-40C3-8514-3FD0EC55C9D9
Q112726635,Monica Achol Benjamin,,,,,2021-07-03,,,Q112726635-A09E9296-90FA-4E79-A032-233B310D5731
Q112726636,Monica Juan Lino,,,,,2021-07-03,,,Q112726636-E278FBB4-77F9-4BC7-89CB-5DF1C6DD08C6
Q112726637,Moses Malek Chuol Kang,,,,,2021-07-03,,,Q112726637-7E82D055-079F-4D39-A937-2AB0A00349F1
Q112726638,Mubarak Deng Tong Duang,,,,,2021-07-03,,,Q112726638-BCE9E5B6-774E-4A33-A646-F58857E05E8C
Q112726639,Nafisa Ibrahim Adam,,,,,2021-07-03,,,Q112726639-09A34674-D7E1-47A5-8F57-B907A33D4F0B
Q112726041,Nyandeng Kerubino Kuanyin,,,,,2021-07-03,,female,Q112726041-FB59C0D4-0F9C-4050-BC47-5C2164A48CE6
Q112726640,Nyandeng Mayen Kuol,,,,,2021-07-03,,,Q112726640-0B16D118-5B87-45E5-992D-23975BEB2413
Q112726641,Okello Laweri Odong,,,,,2021-07-03,,,Q112726641-89C6DCB8-A878-4BFC-AF99-FFB509458253
Q112726642,Petero Juol Machar,,,,,2021-07-03,,,Q112726642-CE1F623D-7B7E-4FF0-BEDD-BD2FB2611A1C
Q112726643,Queenta Benedict Zungubia,,,,,2021-07-03,,,Q112726643-FE29F17D-F650-4643-B193-E4598B8342C3
Q112726644,Rebecca Anei Diot Manyiel,,,,,2021-07-03,,,Q112726644-EEED4B71-59F3-4728-8932-0530BB9128B1
Q112726043,Rieu Gatlier Gai,,,,,2021-07-03,,,Q112726043-0823D9B8-05F4-4A0D-A4F3-695B2A34993B
Q112726645,Ruot Dhol Rieth,,,,,2021-07-03,,,Q112726645-54916A40-C631-422E-8A09-9AF1C00676BC
Q112726646,Santino Opiyo Madhieu,,,,,2021-07-03,,,Q112726646-077BA6C5-1A1D-49A5-A196-2B1A12F38B99
Q112726045,Sarah Nyakuoch Kuach,,,,,2021-07-03,,female,Q112726045-1C38E0CD-F7B4-4FBF-BC76-C957B5180BC4
Q112726648,Simon Maguet Gai Majak,,,,,2021-07-03,,,Q112726648-44D53812-D49A-41C3-AF6F-35B2CF09C894
Q112726649,Sisto Majikwe,,,,,2021-07-03,,,Q112726649-6955BAB4-F4E3-4B69-87BC-671BB662AD2D
Q112726650,Stephen Gaga Lukudu,,,,,2021-07-03,,,Q112726650-C5BB4B51-96DB-43C3-8D4B-E4A0DC5C137B
Q112726651,Sultan Kong Kong,,,,,2021-07-03,,,Q112726651-E8A18A19-6524-4244-8A22-015DB607BD1F
Q112726652,Taban John Nyaruben Korong,,,,,2021-07-03,,,Q112726652-A2850E43-2B85-47F6-AD77-1817A8D8B47C
Q112726653,Tabitha Chol Manyiel,,,,,2021-07-03,,,Q112726653-E328746F-8F20-4073-B45B-473768C72003
Q112726654,Tut Gatkek Tut Upper,,,,,2021-07-03,,,Q112726654-65EE50CB-6330-4910-9A48-46FD1EDB17D4
Q112726655,Victoria Nasire Augustino,,,,,2021-07-03,,,Q112726655-ACF2A7E7-7B99-47FD-A023-3220F4F84404
