item,itemLabel,position,positionLabel,startDate,endDate,psid
Q112686446,Aggrey Tisa Sabuni,Q112686425,Minister of Finance and Economic Planning,2013-10,2015-01-12,Q112686446-FCED49F3-97C1-48F4-A8DB-0C27C6C19CE4
Q112686512,Macham Mecham Angui,Q112686468,Minister of Electricity and Dams,2015,2016,Q112686512-2C240E0F-E29E-487F-9154-3A77FB2BA130
Q112686679,Obuto Mamur Mete,Q112686666,National Security in the office of the President,2013-07-31,2016-04-28,Q112686679-361E0D4D-2D30-4224-84B7-E96BE8C7093E
Q112686730,Paulino Wanawilla Onango,Q112700831,"Deputy Minister, Ministry of Justice",2013,2016,Q112686730-7FB6FEFF-87E2-4C55-AB78-5CE993F52CF0
Q112692342,Abdalla Deng Nhial,Q112686468,"Electricity, Dams, and Water Resources",2013-07-31,2016-04-28,Q112692342-0EF3A965-0B33-47FD-ABD5-59A5743B332A
Q112701003,Bol Makueng Yuol,Q112700862,"Deputy Minister, Ministry of Education, Science, and Technology",2013-07-31,2016-04-28,Q112701003-F24C21DB-DBDA-4F90-81DF-0AF576876212
Q112701004,Elizabeth James Bol,Q112700870,"Deputy Minister, Ministry of Petroleum, Mining, and Environment",2013-07-31,2016-04-28,Q112701004-31FEBB1B-3CD2-44B8-9BC4-EB56E007B349
Q112701005,Kengen Jakor,Q112700849,"Deputy Minister, Ministry of Finance, Economic Planning, and Commerce",2013-07-31,2016-04-28,Q112701005-6EEE0086-F672-4924-9216-8B7579730399
Q112701006,Kuong Doanier Gakluak,Q112686684,"Labor, Public Service, and Human Resource Development",2013-07-31,2016-04-28,Q112701006-EE2F3621-1808-445A-A525-90B22A939409
Q112701007,Martin Tako,Q112700867,"Deputy Minister, Ministry of Transport, Road, and Bridges",2013-07-31,2016-04-28,Q112701007-39CFDD7B-3965-404C-8456-616F5DDD8195
Q112701009,Michael Makwei Lueth,Q112686797,"Information, Broadcasting, and Telecommunication",2013-07-31,2016-04-28,Q112701009-C0CEA423-DC3D-4846-B5A8-E96565991E2A
Q112701010,Ngor Kulang,Q112712925,Youth and Sport,2013-07-31,2016-04-28,Q112701010-9405194A-76BE-4254-BC04-A4F8821D8DAB
Q112701013,Simon Mijok Mijak,Q112686191,"Transport, Road, and Bridges",2013-07-31,2016-04-28,Q112701013-8A950A41-1E16-4AC7-B451-19918BB73E0E
Q112701015,Tellar Riing Deng,Q112686712,Justice,2013-07-31,2016-04-28,Q112701015-74F7F70D-E79E-4FD5-8888-420BC4BBB56A
Q12748065,Awut Deng Acuil,Q112686684,"Minister of Labour, Public Service and Human Resource Development",2009,2016-04,Q12748065-7DD4F533-7E17-4716-917F-D7F3A56548EC
Q12748065,Awut Deng Acuil,Q112684932,Minister of Higher Education,2015,2016,Q12748065-D80522C6-C663-4EF4-8C5E-F008ACD322B2
Q12748065,Awut Deng Acuil,Q112686588,Gender and Social Development,2013-07-31,2016-04-28,Q12748065-E8ECC183-091B-49C5-9EEC-D7BC76D2AD6E
Q16204805,Riak Gai Kok,Q112669693,Health,2013-07-31,2016-04-28,Q16204805-384B25F8-F665-42E5-8E10-7EB8196DEC50
Q2046108,Pagan Amum,Q112686299,Minister of Peace and CPA Implementation,2011-07-23,2015,Q2046108-D06AC785-88F7-4D32-9A52-5501FA792058
Q22276892,Jadalla Augustino Wani,Q112700847,"Deputy Minister, Ministry of Interior and Wildlife conservation",2013-07-31,2016-04-28,Q22276892-B85339E6-EC94-4726-82FE-1DC72172A560
Q2344633,Stephen Dhieu Dau,Q112686266,"Petroleum, Mining, and Environment",2011-08-26,2016-04,Q2344633-D91728AA-DA22-4C61-93FF-EE398D2D8931
Q42659471,Rebecca Joshua Okwaci,Q112685797,Minister of Animal Resources and Fisheries,2015,2016,Q42659471-14A0BF89-9A2E-4E6C-B911-B1052DCD61A0
Q42659471,Rebecca Joshua Okwaci,Q112685940,Minister of Cabinet Affairs,2015,2016,Q42659471-BD3D98EA-FCDD-4B64-AFEA-C4F55BBF6087
Q42659471,Rebecca Joshua Okwachi,Q112700856,"Deputy Minister, Ministry of Information, Broadcasting, and Telecommunication",2013-07-31,2016-04-28,Q42659471-F524135D-5631-4F06-A17E-D2327C4AE842
Q444994,Riek Machar,Q53569601,Vice President of South Sudan,2016-04-26,2016-07-26,Q444994-1E04E195-7241-490A-8ED8-BEA7461641A6
Q4861322,Barnaba Marial Benjamin,Q112686036,"Minister of Commerce, Industry and Investment",2015-02-23,2015-02-27,Q4861322-A0A7DFE1-EEEB-4FDD-BA8B-4596D33916E8
Q4861322,Marial Benjamin Barnaba,Q112686406,Minister of Foreign Affairs and International Cooperation,2013-07-27,2016-03-23,Q4861322-BFB472AA-F526-4EFD-B1CF-919BDD71EAF9
Q4893553,Nhial Deng Nhial,Q112686036,"Minister of Commerce, Industry and Investment",2016,2017,Q4893553-D687D97D-0509-44FE-A9D7-50C6F68150E6
Q4898942,Betty Ogwaro,Q112685688,Minister of Agriculture,2016,2019,Q4898942-05893378-AA40-4762-BC74-DBC4D1455BF9
Q4898942,Betty Ogwaro,Q112686171,Minister of Wildlife Conservation and Tourism,2014,2015,Q4898942-2678799D-0BFF-4433-983B-F50AAD75E570
Q4898942,Betty Ogwaro,Q112685688,Minister of Agriculture,2014,2015,Q4898942-73A30F21-0FFA-4E39-87E9-9FD2BAAB56A5
Q4898942,Betty Ogwaro,Q112685688,Minister of Agriculture,2011-08-26,2014,Q4898942-E5002952-8391-4A5A-987B-510747D4B87C
Q5232921,David Deng Athorbie,Q112686425,Minister of Finance and Economic Planning,2015-01-12,2016-04,Q5232921-ef82099b-4b5b-5dca-2d94-a27399f5caa0
Q5256910,Deng Alor Kuol,Q112686406,Minister of Foreign Affairs and International Cooperation,2016,2018-04-24,Q5256910-E98BB795-2848-49D7-9394-C12FD4279B01
Q5521927,Garang Diing Akoung,Q112686036,"Minister of Commerce, Industry and Investment",2011-08-26,2015-02-23,Q5521927-5C32DC65-C31B-4668-8353-9FCAE59B8EFA
Q6145116,James Wani Igga,Q53569601,Vice President of South Sudan,2013-08-25,2020-02-21,Q6145116-D1F4C508-4D51-4DA5-BE09-6A1B9E3D6232
Q6145116,James Wani Igga,Q112669693,Minister of Health of South Sudan,2015,2016,Q6145116-D87FFBD8-7DAC-4667-99FC-2BCA800052CB
Q6177210,Jemma Nunu Kumba,Q112686171,Minister of Wildlife Conservation and Tourism,2015,2017,Q6177210-1A79C9C5-A08F-4DDF-94CD-18F581288CC8
Q6177210,Jemma Nunu Kumba,Q112685797,Minister of Animal Resources and Fisheries,2014,2015,Q6177210-37B24055-B917-4319-867C-B096641C3330
Q6177210,Jemma Nunu Kumba,Q112685940,Minister of Cabinet Affairs,2014,2015,Q6177210-C864EB93-206D-467D-8D0D-415F89A2D583
Q6177210,Jemma Nunu Kumba,Q112686600,"Land, Housing and Physical Planning",2013-07-31,2016-04-28,Q6177210-CDCFD0A4-A69E-41F9-B819-1CEB3B89DAF9
Q6445240,Kuol Manyang Juuk,Q112686152,Defense and Veteran Affairs,2013-07-31,2016-04-28,Q6445240-130AED68-BC80-4CA2-86A0-4A46094653FE
Q6779908,Mary Jervas Yak,Q112700849,"Deputy Minister, Ministry of Finance, Economic Planning, and Commerce",2013-07-31,2016-04-28,Q6779908-6A6D3368-DB8F-44A8-A05D-87F59D134CEB
Q78823225,Obuch Ojok,Q112669693,Minister of Health of South Sudan,2016,2017,Q78823225-DFA179C4-2529-47CF-A0CE-93A0935EDD65
Q90955928,Beatrice Wani-Noah,Q112686036,"Minister of Commerce, Industry and Investment",2015,2016,Q90955928-62112EE8-B79D-49BA-AF4F-E6E90DDEB82C
Q97413828,Denay Jock Chagor,Q112684932,Minister of Higher Education,2014,2015,Q97413828-B16099DD-FE46-400D-A8C8-B2F9E1879826
