itemLabel,areaLabel,partyLabel
Francis Ben Ataba,Eastern Equatoria,National Agenda
Joseph Ojukwu Ikarak,Eastern Equatoria,National Agenda
Abraham Biar Deng,Jonglei,SPLM
Adeng Leek Deng,Jonglei,SPLM
Nyaboth Rambang Mabor,Jonglei,SPLM
Ann Lino Wor Abyei,Jonglei,SPLM
Atem Garang Deng De’ kuek,Jonglei,SPLM
Benjamin Malek Alier,Jonglei,SPLM
Nyawargak Martin Nyang,Jonglei,SPLM
James Guet Pur,Jonglei,SPLM
Deng Dau Deng,Jonglei,SPLM
Dengtiel Ayuen Kur,Jonglei,SPLM
Barnaba Marial Benjamin,Jonglei,SPLM
Elizabeth John Kuol,Jonglei,SPLM
Chol Paul Pawel,Jonglei,SPLM
Gatluak Ruon Nyuot,Jonglei,SPLM
Imelda Modi Berdinato,Jonglei,SPLM
Tabitha Nyanchin Kwojo,Jonglei,SPLM
June Malet Kuol,Jonglei,SPLM
Kuol Lual Awuol,Jonglei,SPLM
Kuony War Jok,Jonglei,SPLM
Nyang Chuol Dhour,Jonglei,SPLM
Lual Achuek Deng,Jonglei,SPLM
Martha Akuany,Jonglei,SPLM
Mary Nyaulang Ret,Jonglei,SPLM
Michael Chot Lul,Jonglei,SPLM
Michael Makuel Lueth,Jonglei,SPLM
Michael Ruot Koryom,Jonglei,SPLM
Nyanchiek Nhial Majit,Jonglei,SPLM
Nyayang Lok Riek,Jonglei,SPLM
Peter Lul Ulem,Jonglei,SPLM
Philip Thon Leek,Jonglei,SPLM
Riek Gai Kok,Jonglei,SPLM
Sahara Benjamin Gabriel,Jonglei,SPLM
Chuol David Dhel,Jonglei,SPLM
Mary Peter La Banyjiek,Jonglei,SPLM
Maker Thiong Maal,Jonglei,SPLM
John Jok Chol,Jonglei,SPLM
Alice Nathalina Gore,Jonglei,SPLM
Timothy Tot Chol,Jonglei,SPLM
Timothy Taban Juch,Jonglei,SPLM
Elizabeth Akuol Chuang,Jonglei,SPLM
Regina Nyakouth Rut,Jonglei,SPLM
Mary Akech Bior,Jonglei,SPLM
Jesus Deng Atem,Jonglei,SPLM-IO
Martha Akon Deng Ruar,Jonglei,SPLM-IO
Alier Samuel Ateny,Jonglei,SPLM-IO
Ajak Abraham Dier,Jonglei,SPLM-IO
Tut Puoch Rambang,Jonglei,SPLM-IO
Gordon Deng Lam,Jonglei,SPLM-IO
Micheal Tut Ruot,Jonglei,SPLM-IO
Tut Jock Guong,Jonglei,SPLM-IO
Martha Nyanath Chot,Jonglei,SPLM-IO
Teresa Nuba Chatiem,Jonglei,SPLM-IO
Peter Gatkuoth Manyang,Jonglei,SPLM-IO
George Mathor Mayom,Jonglei,SPLM-IO
James Kok Ruei,Jonglei,SPLM-IO
Mary Jock,Jonglei,SPLM-IO
Mary Akec Machiek,Jonglei,SPLM-IO
Gatkuoth Wat Jor,Jonglei,SPLM-IO
Acholla Abulla Goy Aruna,Jonglei,SSOA
Suzan John Jock,Jonglei,SSOA
Bol Duop Nyuot,Jonglei,SSOA
Michael Ayuen Johnson,Jonglei,SSOA
Lam Ker Chagor,Jonglei,SSOA
John Banygai Majak,Jonglei,SSOA
Mahjoub Biel Turuk,Jonglei,SSOA
Gier Chuang Aluong,Jonglei,FDs
Isaiah Hakim Garang,Jonglei,FDs
Riek Puok Ruach,Jonglei,FDs
Alek James Majok Majak,Jonglei,OPP
Philip Palet Gadin,Jonglei,National Agenda
James Sigin Banak,Jonglei,National Agenda
