position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Member of the Council of States,Joseph Bol Chan,Q112726025,2011-08-05,2021-05,male,,,,
Member of the Council of States,Joshua Dau Diu,Q112726027,2011-08-05,2021-05,male,,,,
Member of the Council of States,Kamilo Athian Kuot Athian,Q112726028,2011-08-05,2021-05,male,,,,
Member of the Council of States,Kennedy Gayin Ngare,Q112726029,2011-08-05,2021-05,male,,,,
Member of the Council of States,Kong Kong Bol Riam,Q112726030,2011-08-05,2021-05,,,,,
Member of the Council of States,Kornelius Kenyi Befo,Q112726032,2011-08-05,2021-05,male,,,,
Member of the Council of States,Luis Vito Akuar,Q112726033,2011-08-05,2021-05,,,,,
Member of the Council of States,Majak Machar Dolbai,Q112726034,2011-08-05,2021-05,,,,,
Member of the Council of States,Marko Lokale,Q112726035,2011-08-05,2021-05,,,,,
Member of the Council of States,Mary Ayiam Majiok Kiir,Q112726036,2011-08-05,2021-05,female,,,,
Member of the Council of States,Michael Losike,Q112726037,2011-08-05,2021-05,male,,,,
Member of the Council of States,Michael Mario Dhuor,Q112726038,2011-08-05,2021-05,male,,,,
Member of the Council of States,Nelson Lumota Lonyika,Q112726039,2011-08-05,2021-05,male,,,,
Member of the Council of States,Nyandeng Kerubino Kuanyin,Q112726041,2011-08-05,2021-05,female,,,,
Member of the Council of States,Remy Oller Itorong,Q112726042,2011-08-05,2021-05,,,,,
Member of the Council of States,Rieu Gatlier Gai Chan,Q112726043,2011-08-05,2021-05,,,,,
Member of the Council of States,Ruot Bol Reth,Q112726044,2011-08-05,2021-05,male,,,,
Member of the Council of States,Sarah Nyakuoth Kuach,Q112726045,2011-08-05,2021-05,female,,,,
Member of the Council of States,Sultan Ismail Konyi,Q112726046,2011-08-05,2021-05,male,,,,
Member of the Council of States,Victor Edward Epafura,Q112726047,2011-08-05,2021-05,,,,,
Member of the Council of States,Vigil Modi Jima,Q112726049,2011-08-05,2021-05,,,,,
Member of the Council of States,Eliaba James Surur,Q5360372,2011-08-05,2021-05,male,1930-11-21,2014-08-16,James-Elioba-Sururu gif.jpg,Eliaba James Surur
Member of the Council of States,Oliver Batali Albino,Q55627493,2011-08-05,2021-05,male,1935-11-11,2020-01-04,Independence Day 9 July 2011 Oliver Albino 694 kb.jpg,Oliver Batali Albino
Member of the Council of States,Deng Deng Akoon,Q112686016,2021-07-03,,,,,,
Member of the Council of States,Arthur Akuien Chol,Q112726001,2021-07-03,,male,,,,
Member of the Council of States,Chan Malual Chan,Q112726003,2021-07-03,,,,,,
Member of the Council of States,Faustino Atem Gualdit,Q112726008,2021-07-03,,male,,,,
Member of the Council of States,Isaac Kon Anok,Q112726015,2021-07-03,,male,,,,
Member of the Council of States,Jaden Jada Solomon,Q112726018,2021-07-03,,,,,,
Member of the Council of States,James Magok Ater,Q112726019,2021-07-03,,,,,,
Member of the Council of States,James Wal Garang,Q112726021,2021-07-03,,male,,,,
Member of the Council of States,Joseph Aban Deng,Q112726024,2021-07-03,,,,,,
Member of the Council of States,Joseph Bol Chan,Q112726025,2021-07-03,,male,,,,
Member of the Council of States,Kamilo Athian Kuot Athian,Q112726028,2021-07-03,,male,,,,
Member of the Council of States,Kennedy Gayin Ngare,Q112726029,2021-07-03,,male,,,,
Member of the Council of States,Marko Lokale,Q112726035,2021-07-03,,,,,,
Member of the Council of States,Michael Mario Dhuor,Q112726038,2021-07-03,,male,,,,
Member of the Council of States,Nyandeng Kerubino Kuanyin,Q112726041,2021-07-03,,female,,,,
Member of the Council of States,Rieu Gatlier Gai Chan,Q112726043,2021-07-03,,,,,,
Member of the Council of States,Abdun Gatjiek Gatluak,Q112726570,2021-07-03,,,,,,
Member of the Council of States,Ajuet Rehan Muon Ajuet,Q112726571,2021-07-03,,,,,,
Member of the Council of States,Aldo Ajou Deng,Q112726572,2021-07-03,,,,,,
Member of the Council of States,Alice Odok Kiir,Q112726573,2021-07-03,,,,,,
Member of the Council of States,Anei Ngong Anei,Q112726577,2021-07-03,,,,,,
Member of the Council of States,Angelo Beda Gbangbura,Q112726579,2021-07-03,,,,,,
Member of the Council of States,Anisia Achieng Karlo,Q112726580,2021-07-03,,,,,,
Member of the Council of States,Arun Lual Run,Q112726581,2021-07-03,,,,,,
Member of the Council of States,Awadh Juma Aman Marjal,Q112726583,2021-07-03,,,,,,
Member of the Council of States,Bapiny Manytuil Wejang,Q112726584,2021-07-03,,,,,,
Member of the Council of States,Bashir Abdelrahman,Q112726585,2021-07-03,,,,,,
Member of the Council of States,Bepin Sabino Ajawin,Q112726587,2021-07-03,,,,,,
Member of the Council of States,Celestino Joseph Mahmoud,Q112726588,2021-07-03,,,,,,
Member of the Council of States,Celino Saturino Swaka Daniel,Q112726589,2021-07-03,,,,,,
Member of the Council of States,Chuol Rambang Luoth,Q112726590,2021-07-03,,,,,,
Member of the Council of States,Cirilo Chol Dut Noon,Q112726592,2021-07-03,,,,,,
Member of the Council of States,Daniel Deng Lual,Q112726593,2021-07-03,,,,,,
Member of the Council of States,Denis Oreng Ofilang Itorong,Q112726594,2021-07-03,,,,,,
Member of the Council of States,Dhalkon Ricardo Ugal,Q112726595,2021-07-03,,,,,,
Member of the Council of States,Donato Dimo Orach,Q112726596,2021-07-03,,,,,,
Member of the Council of States,Vigil Modi Guma,Q112726598,2021-07-03,,,,,,
Member of the Council of States,Elisabeth Stephen Kon,Q112726599,2021-07-03,,,,,,
Member of the Council of States,Gol Paul Ngundeng,Q112726600,2021-07-03,,,,,,
Member of the Council of States,Hassan Adam Gatpan Dong,Q112726602,2021-07-03,,,,,,
Member of the Council of States,Ida Luka Jenman,Q112726603,2021-07-03,,,,,,
Member of the Council of States,Isaac Sumu Cleopa,Q112726604,2021-07-03,,,,,,
Member of the Council of States,James Andrea Anyak,Q112726605,2021-07-03,,,,,,
Member of the Council of States,Jenevia Eliaba Janap,Q112726607,2021-07-03,,,,,,
Member of the Council of States,John Juyol Yual,Q112726608,2021-07-03,,,,,,
Member of the Council of States,John Masua Mandaza,Q112726609,2021-07-03,,,,,,
Member of the Council of States,John Tap Malual,Q112726610,2021-07-03,,,,,,
Member of the Council of States,John Ukech Lueth,Q112726611,2021-07-03,,,,,,
Member of the Council of States,John Wuor Manteng,Q112726612,2021-07-03,,,,,,
Member of the Council of States,Johnson Ladu Surur,Q112726613,2021-07-03,,,,,,
Member of the Council of States,Joseph Nyok Abiel,Q112726614,2021-07-03,,,,,,
Member of the Council of States,Josephine Nakur Ambrose,Q112726615,2021-07-03,,,,,,
Member of the Council of States,Joshua Dau Dhieu,Q112726616,2021-07-03,,,,,,
Member of the Council of States,Joy Owach Nyiker,Q112726617,2021-07-03,,,,,,
Member of the Council of States,Juan Dar,Q112726618,2021-07-03,,,,,,
Member of the Council of States,Jules Reuben Nakobo,Q112726619,2021-07-03,,,,,,
Member of the Council of States,Khamis Ismael Konyi,Q112726620,2021-07-03,,,,,,
Member of the Council of States,Kornelio Kenyi Befo,Q112726621,2021-07-03,,,,,,
Member of the Council of States,Laveric Liwa Dongoro,Q112726622,2021-07-03,,,,,,
Member of the Council of States,Linda Andrea Apaya,Q112726623,2021-07-03,,,,,,
Member of the Council of States,Louis Victor Akwar,Q112726624,2021-07-03,,,,,,
Member of the Council of States,Madelino Angelo Elzain,Q112726625,2021-07-03,,,,,,
Member of the Council of States,Majak Machar Dholbai,Q112726626,2021-07-03,,,,,,
Member of the Council of States,Malok Daniel Achu,Q112726627,2021-07-03,,,,,,
Member of the Council of States,Manoah Aligo Donga,Q112726628,2021-07-03,,,,,,
Member of the Council of States,Margret John Jok,Q112726629,2021-07-03,,,,,,
Member of the Council of States,Margret Vito Akwar,Q112726630,2021-07-03,,,,,,
Member of the Council of States,Mary Apar Deng,Q112726631,2021-07-03,,,,,,
Member of the Council of States,Mary Ayen Mijok,Q112726632,2021-07-03,,,,,,
Member of the Council of States,Mary Isaac Daniel,Q112726633,2021-07-03,,,,,,
Member of the Council of States,Michael Lokerui Losike,Q112726634,2021-07-03,,,,,,
Member of the Council of States,Monica Achol Benjamin,Q112726635,2021-07-03,,,,,,
Member of the Council of States,Monica Juan Lino,Q112726636,2021-07-03,,,,,,
Member of the Council of States,Moses Malek Chuol Kang,Q112726637,2021-07-03,,,,,,
Member of the Council of States,Mubarak Deng Tong Duang,Q112726638,2021-07-03,,,,,,
Member of the Council of States,Nafisa Ibrahim Adam,Q112726639,2021-07-03,,,,,,
Member of the Council of States,Nyandeng Mayen Kuol,Q112726640,2021-07-03,,,,,,
Member of the Council of States,Okello Laweri Odong,Q112726641,2021-07-03,,,,,,
Member of the Council of States,Petero Juol Machar,Q112726642,2021-07-03,,,,,,
Member of the Council of States,Queenta Benedict Zungubia,Q112726643,2021-07-03,,,,,,
Member of the Council of States,Rebecca Anei Diot Manyiel,Q112726644,2021-07-03,,,,,,
Member of the Council of States,Ruot Dhol Rieth,Q112726645,2021-07-03,,,,,,
Member of the Council of States,Santino Opiyo Madhieu,Q112726646,2021-07-03,,,,,,
Member of the Council of States,Sarah Nyakuoch Kuach,Q112726647,2021-07-03,,,,,,
Member of the Council of States,Simon Maguet Gai Majak,Q112726648,2021-07-03,,,,,,
Member of the Council of States,Sisto Majikwe,Q112726649,2021-07-03,,,,,,
Member of the Council of States,Stephen Gaga Lukudu,Q112726650,2021-07-03,,,,,,
Member of the Council of States,Sultan Kong Kong,Q112726651,2021-07-03,,,,,,
Member of the Council of States,Taban John Nyaruben Korong,Q112726652,2021-07-03,,,,,,
Member of the Council of States,Tabitha Chol Manyiel,Q112726653,2021-07-03,,,,,,
Member of the Council of States,Tut Gatkek Tut Upper,Q112726654,2021-07-03,,,,,,
Member of the Council of States,Victoria Nasire Augustino,Q112726655,2021-07-03,,,,,,
Member of the National Legislative Assembly,James Kok Ruea,Q11046276,2011-07-09,2016-08-04,male,,,,James Kok Ruey
Member of the National Legislative Assembly,Manasseh Magok Rundial,Q112316504,2011-07-09,2016-08-04,male,,,,
Member of the National Legislative Assembly,Philip Thon Leek,Q112325756,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Abuk Malual Aken,Q112525534,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Abuk Payit Ayik,Q112525536,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Achol Barouk Akasha,Q112525538,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Adeng Leek Deng,Q112525552,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Agyou Agyou Thiep,Q112525554,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Akon Bol Akok,Q112525555,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Akon Diang Athian,Q112525556,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Akot Dau Niyok,Q112525558,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Akuot Deng Kawal,Q112525559,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Aleu Ayieny Aleu,Q112525561,2011-07-09,2016-08-04,male,,,,
Member of the National Legislative Assembly,Alfred Wol Acwal,Q112525563,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Andrew Okong Ayom,Q112525565,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Angelina Nyamouka Magoun,Q112525566,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Angelo Lokinga Lohita,Q112525568,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Angoryang Mark Loifidi,Q112525570,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Arop Madut Arop,Q112525572,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Asha Abboz Akuei,Q112525573,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Awut Deng Achuil,Q112525575,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Aya Janet Alex,Q112525577,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Bangout Amum Okiech,Q112525578,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Barnardo Kpasira Martin,Q112525579,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Bataria Mirror Maker,Q112525581,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Beatrice Aber Samson,Q112525582,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Bellario Ahoy Ngong,Q112525584,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Benjamin Malek Alier,Q112525587,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Bidali Moses Onesimo,Q112525588,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Bul Andrea Cosmas,Q112525590,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Charles Majak Alier,Q112525593,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Charles Wello Onyony,Q112525595,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Daniel Deng Monydit,Q112525597,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,David Gai Chan,Q112525599,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,David Nailo Mayo,Q112525601,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,David Okuer Akwany,Q112525602,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,David Unyo Demey,Q112525603,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,David Yien Bilieth,Q112525604,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Debora Ajok Garang,Q112525606,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Deng Dau Deng,Q112525608,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Dengtiel A. Kur,Q112525609,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Dousman Joyce James,Q112525611,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Elias Mathuc,Q112525613,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Elizabeth Adut Mel,Q112525614,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Elizabeth Nyaluac Tap,Q112525616,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Elizabeth Nyawac Chol,Q112525618,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Emelia Aluel Bol,Q112525620,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Fatima Nyawang Biliu,Q112525622,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Festo Faustino Kumba,Q112525624,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Francis Lokurnyang Angou,Q112525625,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Gadwani Lopuke Cormoi,Q112525626,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Garang Deng Akong,Q112525627,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Gathuak Riak Jak,Q112525629,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Gatwech Lam Puoch,Q112525631,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,George Costa Faustino,Q112525632,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Gier Chuang Aluong,Q112525634,2011-07-09,2016-08-04,male,,,,
Member of the National Legislative Assembly,Gordon Matot Tut,Q112525636,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Grace Amo Alex,Q112525638,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Henry Dilah Odwar,Q112525640,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Henry Omai Akolawin,Q112525641,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Henry Stephen Danga,Q112525643,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Ismail Mathew Mukhter,Q112525645,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Jacob Dau Kuol,Q112525647,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,James Gatkur Wishierbal,Q112525648,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,James Janka Duku,Q112525649,2011-07-09,2016-08-04,male,,,,
Member of the National Legislative Assembly,James Kueth Chol,Q112525650,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,James Lual Deng,Q112525653,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,James Reat Gony,Q112525655,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Jasmine Samuel Adakayi,Q112525657,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,John Chol Machar,Q112525659,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,John Ivo Mounto,Q112525660,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,John Jok Chol,Q112525662,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Josephine Napwon Cosmos,Q112525664,2011-07-09,2016-08-04,female,,,,
Member of the National Legislative Assembly,Joy Kwaje Eluzai,Q112525665,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Julius Ajeo Moilinga,Q112525667,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Juma AlI Malau,Q112525669,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Juma Amiro Dobo,Q112525671,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,June Malek Kur,Q112525672,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Kom Kom Geng,Q112525673,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Kong Dak Jishlive,Q112525674,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Kornelio Mawien Dhor,Q112525676,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Kuany Ayom Deng,Q112525678,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Kuony War Jok,Q112525680,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Kuot Deng Kuot,Q112525681,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Kur Akol Deng,Q112525793,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Kutin Bayak Gil,Q112525795,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Listisia Ihure Santino,Q112525797,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Lucy Iyaya Loki,Q112525799,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Machok Majong Jong,Q112525801,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Madalena Pita Emilion,Q112525802,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Majok Dut Muorwel,Q112525804,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Majok Yak Majok,Q112525805,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Maker Deng Malou,Q112525806,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Mark Lotede Lowi,Q112525808,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Mark Nyipouch Ubong,Q112525809,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Martha Akuany Deng,Q112525811,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Martha Atong Mansor,Q112525813,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Martha Ayuek Yac,Q112525815,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Martha Martin Dak,Q112525817,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Martin Ohuro Okeruk,Q112525819,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Mary Atong Bak,Q112525820,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Mary Bicensio Wani,Q112525822,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Mary Kiden Enoka,Q112525824,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Mary Kiden Kimbo,Q112525826,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Mary Nawai Martin,Q112525827,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Mary Nyaulang Ret,Q112525828,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Mary Puru Michael,Q112525829,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Mary Rero Jwac,Q112525831,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Mat Ron War Roy,Q112525832,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Mathew Mathiang Deang,Q112525833,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Mel Wal Achien Yor,Q112525835,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Michael Muot Dieu,Q112525837,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Mohammed Ahmed Musa,Q112525839,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Monica Ayen Maguat,Q112525841,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Negere Joseph Paciko,Q112525843,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Ngong Deng Gum,Q112525845,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Nibol Daniel Dhieu,Q112525847,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Nyachut Arok,Q112525848,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Nyalok Tiong Gatluak,Q112525850,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Nyanyang Lok Rich,Q112525851,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Nyibol Bol Matip,Q112525852,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Ohidei Victor Omuho,Q112525854,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Onyoti Adigo Nyikwac,Q112525855,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Parmena Awerial Along,Q112525856,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Pascal Bandindi Uru,Q112525858,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Paul Logale Jumi,Q112525860,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Paulino Laku Kedia,Q112525864,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Peter Bashir Gbandi,Q112525865,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Peter Longole Kuam,Q112525867,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Ramadan El Amin,Q112525869,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Rebecca Atuet Makuet,Q112525871,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Rejoice Bauda Simon,Q112525873,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Remijo Lasu Peter,Q112525874,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Richard K. Mulla,Q112525875,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Riek Maniel Ayuel,Q112525877,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Ruai Kuol Jal,Q112525878,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Samuel Aban Achin,Q112525879,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Samuel Duwar Deng,Q112525881,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Sebur John Mansuk,Q112525883,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Simon Deng Duang,Q112525885,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Simon Malual Deng,Q112525887,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Stephen Ajongo Akol,Q112525888,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Suzan Wasuk Sokiri,Q112525890,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Theophilus Ochang Lotti,Q112525892,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Timothy Taban Tuch,Q112525894,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Timothy Tut Chuol,Q112525896,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Tongun Lado Rombek,Q112525897,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Tulio Odongi Ayahus,Q112525898,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Umjuma Juma Sabil,Q112525900,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Victoria Adhar Arop,Q112525901,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Vosca Martin Kumbori,Q112525902,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Weu Kong Koyang,Q112525904,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Zakaria Matur Makuer,Q112525906,2011-07-09,2016-08-04,,,,,
Member of the National Legislative Assembly,Daniel Awet Akot,Q16145815,2011-07-09,2016-08-04,male,,,,Daniel Awet Akot
Member of the National Legislative Assembly,Arkangelo Bari Wanji,Q23806325,2011-07-09,2016-08-04,male,1936-07-21,2016-03-14,,Arkangelo Bari Wanji
