item,itemLabel,gender,position,positionLabel,startDate,endDate,psid
Q112686730,Paulion Wanawila Onango,male,Q112700831,Deputy Minister of Justice,2013,2016,Q112686730-7FB6FEFF-87E2-4C55-AB78-5CE993F52CF0
Q112701004,Elizabeth James Bol,female,Q112700870,Deputy Minister of Petroleum and Mining,2011-08-26,2013-07-23,Q112701004-86A39670-9184-4BFB-9F55-7346E933EDC0
Q112701005,Kengen Jakor,male,Q112712375,"Deputy Minister of Commerce, Industry and Investment",2011-08-26,2013-07-23,Q112701005-BEBF692A-FCFD-458C-8B62-18DF9224D217
Q112701008,Mary Jervas Yak,female,Q112700849,Deputy Minister of Finance,2011-08-26,2013-07-23,Q112701008-BFEF03A0-E071-431C-97B2-08177057ABEB
Q112701011,Rebecca Joshua Okwachi,female,Q112700862,Deputy Minister of General Education and Instruction,2011-08-26,2013-07-23,Q112701011-5953B509-428E-4DDB-99C3-5B94B2C6D21A
Q112701013,Simon Majok Majak,male,Q112712647,Deputy Minister of Roads and Bridges,2011-08-26,2013-07-23,Q112701013-68B75A8F-E540-4B6F-B080-FDF6F92164BE
Q112712504,Ali Keti Ochie,male,Q112703866,Deputy Minister of Water Resources and Irrigation,2011-08-26,2013-07-23,Q112712504-150CF5B7-A2AD-4B25-A000-2CA155FA7001
Q112712506,Atem Yak Atem,male,Q112700856,Deputy Minister of Information and Broadcasting,2011-08-26,2013-07-23,Q112712506-32DC0DB4-76BE-4CF2-8C4E-A57F8FD555C5
Q112712507,Elias Nyamlel Wako,,Q112712580,Deputy Minister of International Cooperation,2011-08-26,2013-07-23,Q112712507-11EE0691-A11E-42C1-9A60-B7AB8FE7E0C8
Q112712509,Emmanuel Lowilla,male,Q112686639,Office of the President,2011-08-26,2013-07-23,Q112712509-E9200490-1A5D-45EA-8084-5054F77C78C7
Q112712510,Grace Daterio,female,Q112703856,Deputy Minister of Foreign Affairs,2011-08-26,2013-07-23,Q112712510-48627C20-5FF5-415B-8254-E6B988BB8FDF
Q112712511,John Kong Nyuon,,Q112686152,Defense and Veterans Affairs,2011-08-26,2013-07-23,Q112712511-88AB2399-DB44-4A8E-AD96-23208B686A58
